repositorio,url,pull_requests_aceitas
Textualize/rich,https://github.com/Textualize/rich,869
appwrite/appwrite,https://github.com/appwrite/appwrite,5264
FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,1657
remotion-dev/remotion,https://github.com/remotion-dev/remotion,6137
soimort/you-get,https://github.com/soimort/you-get,582
BerriAI/litellm,https://github.com/BerriAI/litellm,14548
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,95
remix-run/react-router,https://github.com/remix-run/react-router,3646
golang-standards/project-layout,https://github.com/golang-standards/project-layout,98
makeplane/plane,https://github.com/makeplane/plane,6446
Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,34
laurent22/joplin,https://github.com/laurent22/joplin,5994
jellyfin/jellyfin,https://github.com/jellyfin/jellyfin,5626
usestrix/strix,https://github.com/usestrix/strix,368
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,18304
Raphire/Win11Debloat,https://github.com/Raphire/Win11Debloat,130
azl397985856/leetcode,https://github.com/azl397985856/leetcode,257
firstcontributions/first-contributions,https://github.com/firstcontributions/first-contributions,103387
typst/typst,https://github.com/typst/typst,2495
FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,1820
twentyhq/twenty,https://github.com/twentyhq/twenty,14062
AntonOsika/gpt-engineer,https://github.com/AntonOsika/gpt-engineer,351
PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,8464
romkatv/powerlevel10k,https://github.com/romkatv/powerlevel10k,170
ngosang/trackerslist,https://github.com/ngosang/trackerslist,1
jingyaogong/minimind,https://github.com/jingyaogong/minimind,12
TryGhost/Ghost,https://github.com/TryGhost/Ghost,18440
facebookresearch/segment-anything,https://github.com/facebookresearch/segment-anything,16
WerWolv/ImHex,https://github.com/WerWolv/ImHex,782
wagoodman/dive,https://github.com/wagoodman/dive,164
lencx/ChatGPT,https://github.com/lencx/ChatGPT,123
maybe-finance/maybe,https://github.com/maybe-finance/maybe,1073
psf/requests,https://github.com/psf/requests,1697
vuejs/core,https://github.com/vuejs/core,4067
agalwood/Motrix,https://github.com/agalwood/Motrix,237
ElemeFE/element,https://github.com/ElemeFE/element,3228
odoo/odoo,https://github.com/odoo/odoo,6183
google/material-design-icons,https://github.com/google/material-design-icons,50
mozilla/pdf.js,https://github.com/mozilla/pdf.js,9226
necolas/normalize.css,https://github.com/necolas/normalize.css,56
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,6696
JetBrains/kotlin,https://github.com/JetBrains/kotlin,3602
chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,138
vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,2256
