repositorio,url,ultima_atualizacao,dias_desde_ultima_atualizacao
avelino/awesome-go,https://github.com/avelino/awesome-go,2026-08-18T20:26:51Z,0.0
ollama/ollama,https://github.com/ollama/ollama,2026-08-18T20:08:00Z,0.01
flutter/flutter,https://github.com/flutter/flutter,2026-08-18T20:11:02Z,0.01
github/gitignore,https://github.com/github/gitignore,2026-08-18T17:52:39Z,0.11
twbs/bootstrap,https://github.com/twbs/bootstrap,2026-08-18T16:11:52Z,0.18
microsoft/markitdown,https://github.com/microsoft/markitdown,2026-08-18T20:18:42Z,0.01
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,2026-08-18T20:23:40Z,0.0
anthropics/skills,https://github.com/anthropics/skills,2026-08-18T20:10:30Z,0.01
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,2026-08-18T20:21:43Z,0.0
f/prompts.chat,https://github.com/f/prompts.chat,2026-08-18T20:11:27Z,0.01
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2026-08-18T20:12:47Z,0.01
huggingface/transformers,https://github.com/huggingface/transformers,2026-08-18T19:57:56Z,0.02
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,2026-08-18T19:02:47Z,0.06
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,2026-08-18T20:26:20Z,0.0
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2026-08-18T19:49:57Z,0.03
langflow-ai/langflow,https://github.com/langflow-ai/langflow,2026-08-18T20:05:55Z,0.01
langgenius/dify,https://github.com/langgenius/dify,2026-08-18T20:08:54Z,0.01
open-webui/open-webui,https://github.com/open-webui/open-webui,2026-08-18T20:08:40Z,0.01
airbnb/javascript,https://github.com/airbnb/javascript,2026-08-18T14:02:57Z,0.27
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2026-08-18T19:31:44Z,0.04
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,2026-08-18T20:26:38Z,0.0
langchain-ai/langchain,https://github.com/langchain-ai/langchain,2026-08-18T20:18:01Z,0.01
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,2026-08-18T20:03:27Z,0.02
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2026-08-18T20:21:44Z,0.0
anthropics/claude-code,https://github.com/anthropics/claude-code,2026-08-18T20:19:51Z,0.0
vercel/next.js,https://github.com/vercel/next.js,2026-08-18T20:05:47Z,0.01
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,2026-08-18T19:51:54Z,0.02
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,2026-08-18T19:47:54Z,0.03
microsoft/PowerToys,https://github.com/microsoft/PowerToys,2026-08-18T20:19:13Z,0.01
iptv-org/iptv,https://github.com/iptv-org/iptv,2026-08-18T20:14:10Z,0.01
golang/go,https://github.com/golang/go,2026-08-18T19:06:20Z,0.06
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,2026-08-18T20:12:46Z,0.01
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,2026-08-18T20:07:13Z,0.01
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,2026-08-18T19:56:42Z,0.02
